Reporter,ReporterName,Continent,Year,Source
C690,Seychelles,Africa,2020,comtrade
C694,Sierra Leone,Africa,2018,comtrade
C702,Singapore,Asia & Oceania,2020,comtrade
C703,Slovak Republic,Europe,2021,comtrade
C704,Viet Nam,Asia & Oceania,2020,comtrade
C705,Slovenia,Europe,2021,comtrade
C710,South Africa,Africa,2020,comtrade
C716,Zimbabwe,Africa,2020,comtrade
C724,Spain,Europe,2021,comtrade
C736,Sudan,Africa,2018,comtrade
C740,Suriname,Americas,2019,comtrade
C748,Eswatini,Africa,2020,comtrade
C752,Sweden,Europe,2021,comtrade
C756,Switzerland,Europe,2021,comtrade
C760,Syrian Arab Republic,Asia & Oceania,2010,comtrade
C762,Tajikistan,Asia & Oceania,2020,comtrade
C764,Thailand,Asia & Oceania,2020,comtrade
C768,Togo,Africa,2020,comtrade
C776,Tonga,Asia & Oceania,2015,IDB
C780,Trinidad and Tobago,Americas,2015,comtrade
C784,United Arab Emirates,Asia & Oceania,2020,comtrade
C788,Tunisia,Africa,2019,comtrade
C792,Turkey,Asia & Oceania,2021,comtrade
C795,Turkmenistan,Asia & Oceania,2000,comtrade
C800,Uganda,Africa,2020,comtrade
C804,Ukraine,Europe,2021,comtrade
C807,North Macedonia,Europe,2020,comtrade
C818,Egypt,Africa,2021,comtrade
C826,United Kingdom,Europe,2021,comtrade
C834,Tanzania,Africa,2021,comtrade
C840,USA,Americas,2021,comtrade
C854,Burkina Faso,Africa,2021,comtrade
C858,Uruguay,Americas,2020,comtrade
C860,Uzbekistan,Asia & Oceania,2021,comtrade
C862,Venezuela,Americas,2015,IDB
C882,Samoa,Asia & Oceania,2021,comtrade
C887,Yemen,Asia & Oceania,2019,comtrade
C892,Serbia,Europe,2021,comtrade
C893,Montenegro,Europe,2021,comtrade
C894,Zambia,Africa,2020,comtrade
U918,European Union,Europe,2020,IDB
ROW,the rest of the World,RoW,"",""
WOR,World,World,"",""
